121: Ret: -331.00; Last 100 Avg Ret: -199.92; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
122: Ret: -271.50; Last 100 Avg Ret: -198.19; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
123: Ret: -504.07; Last 100 Avg Ret: -200.89; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
124: Ret: -191.24; Last 100 Avg Ret: -197.59; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
125: Ret: -68.14; Last 100 Avg Ret: -197.04; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
126: Ret: -136.98; Last 100 Avg Ret: -193.95; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
127: Ret: -325.58; Last 100 Avg Ret: -193.60; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
128: Ret: -256.34; Last 100 Avg Ret: -193.48; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
129: Ret: -44.36; Last 100 Avg Ret: -192.61; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
130: Ret: -171.96; Last 100 Avg Ret: -193.52; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 8; Solved: N
131: Ret: -38.64; Last 100 Avg Ret: -191.91; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
132: Ret: -91.27; Last 100 Avg Ret: -189.93; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
133: Ret: -140.75; Last 100 Avg Ret: -189.39; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
134: Ret: -168.74; Last 100 Avg Ret: -187.03; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
135: Ret: -85.07; Last 100 Avg Ret: -182.04; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
136: Ret: -102.94; Last 100 Avg Ret: -179.61; Var: 0.00000100; NE: 1.143; ACh: 0.490; ActLR: 0.00006250; EpCount0: 9; Solved: N
