96: Ret: -140.94; Last 100 Avg Ret: -204.51; Var: 0.00357400; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
97: Ret: -335.65; Last 100 Avg Ret: -205.86; Var: 0.00000100; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
98: Ret: -149.10; Last 100 Avg Ret: -205.28; Var: 0.00024288; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
99: Ret: -111.52; Last 100 Avg Ret: -204.34; Var: 0.00027933; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
100: Ret: -221.90; Last 100 Avg Ret: -204.51; Var: 0.00029954; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
101: Ret: -185.45; Last 100 Avg Ret: -204.98; Var: 0.00053181; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
102: Ret: -229.12; Last 100 Avg Ret: -205.60; Var: 0.00057383; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
103: Ret: -129.91; Last 100 Avg Ret: -205.91; Var: 0.00176632; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
104: Ret: -215.41; Last 100 Avg Ret: -207.30; Var: 0.00185571; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
105: Ret: -112.38; Last 100 Avg Ret: -204.21; Var: 0.00209991; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
106: Ret: -230.60; Last 100 Avg Ret: -204.31; Var: 0.00214925; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
107: Ret: -88.11; Last 100 Avg Ret: -202.83; Var: 0.00307407; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
108: Ret: -162.57; Last 100 Avg Ret: -201.20; Var: 0.00397404; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
109: Ret: -261.89; Last 100 Avg Ret: -199.80; Var: 0.00007831; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
110: Ret: -86.78; Last 100 Avg Ret: -197.78; Var: 0.00007831; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
111: Ret: -318.59; Last 100 Avg Ret: -198.25; Var: 0.00019388; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
112: Ret: -254.98; Last 100 Avg Ret: -200.02; Var: 0.00038284; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
113: Ret: -62.27; Last 100 Avg Ret: -199.53; Var: 0.00045503; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
