860: Ret: 226.75; Last 100 Avg Ret: 52.74; Var: 0.00005144; NE: 1.142; ACh: 0.506; ActLR: 0.00006250; EpCount0: 52; Solved: N
870: Ret: 36.00; Last 100 Avg Ret: 58.47; Var: 0.00060122; NE: 1.142; ACh: 0.549; ActLR: 0.00006250; EpCount0: 53; Solved: N
880: Ret: -13.27; Last 100 Avg Ret: 62.40; Var: 0.00068420; NE: 1.142; ACh: 0.553; ActLR: 0.00006250; EpCount0: 54; Solved: N
890: Ret: 254.85; Last 100 Avg Ret: 68.67; Var: 0.00047289; NE: 1.142; ACh: 0.542; ActLR: 0.00006250; EpCount0: 55; Solved: N
900: Ret: 244.24; Last 100 Avg Ret: 71.37; Var: 0.00060953; NE: 1.142; ACh: 0.550; ActLR: 0.00006250; EpCount0: 56; Solved: N
910: Ret: -229.03; Last 100 Avg Ret: 72.96; Var: 0.00111119; NE: 1.142; ACh: 0.571; ActLR: 0.00006250; EpCount0: 58; Solved: N
920: Ret: -27.66; Last 100 Avg Ret: 70.40; Var: 0.00052394; NE: 1.142; ACh: 0.545; ActLR: 0.00006250; EpCount0: 58; Solved: N
930: Ret: 197.91; Last 100 Avg Ret: 68.27; Var: 0.00076772; NE: 1.143; ACh: 0.557; ActLR: 0.00006250; EpCount0: 59; Solved: N
940: Ret: 256.07; Last 100 Avg Ret: 61.50; Var: 0.00053828; NE: 1.142; ACh: 0.546; ActLR: 0.00006250; EpCount0: 60; Solved: N
950: Ret: -7.36; Last 100 Avg Ret: 62.57; Var: 0.00021112; NE: 1.142; ACh: 0.524; ActLR: 0.00006250; EpCount0: 60; Solved: N
960: Ret: -30.20; Last 100 Avg Ret: 61.63; Var: 0.00090273; NE: 1.142; ACh: 0.563; ActLR: 0.00006250; EpCount0: 61; Solved: N
970: Ret: 12.48; Last 100 Avg Ret: 70.04; Var: 0.00052493; NE: 1.142; ACh: 0.545; ActLR: 0.00006250; EpCount0: 62; Solved: N
980: Ret: -144.96; Last 100 Avg Ret: 51.68; Var: 0.00073158; NE: 1.142; ACh: 0.556; ActLR: 0.00006250; EpCount0: 63; Solved: N
990: Ret: -102.83; Last 100 Avg Ret: 38.34; Var: 0.00060509; NE: 1.142; ACh: 0.549; ActLR: 0.00006250; EpCount0: 63; Solved: N
1000: Ret: -105.31; Last 100 Avg Ret: 28.32; Var: 0.00086723; NE: 1.142; ACh: 0.562; ActLR: 0.00006250; EpCount0: 64; Solved: N
1010: Ret: 154.81; Last 100 Avg Ret: 19.50; Var: 0.00014586; NE: 1.143; ACh: 0.519; ActLR: 0.00085000; EpCount0: 65; Solved: N
1020: Ret: -401.97; Last 100 Avg Ret: 0.36; Var: 0.00170279; NE: 1.143; ACh: 0.591; ActLR: 0.00066250; EpCount0: 65; Solved: N
1030: Ret: -488.17; Last 100 Avg Ret: -52.73; Var: 0.00211792; NE: 1.142; ACh: 0.602; ActLR: 0.00047500; EpCount0: 66; Solved: N
1040: Ret: -603.45; Last 100 Avg Ret: -118.47; Var: 0.01013280; NE: 1.142; ACh: 0.724; ActLR: 0.00028750; EpCount0: 66; Solved: N
1050: Ret: -588.72; Last 100 Avg Ret: -179.34; Var: 0.00510698; NE: 1.142; ACh: 0.662; ActLR: 0.00010000; EpCount0: 67; Solved: N
1060: Ret: -458.53; Last 100 Avg Ret: -239.02; Var: 0.00387342; NE: 1.143; ACh: 0.640; ActLR: 0.00006250; EpCount0: 68; Solved: N
1070: Ret: -514.05; Last 100 Avg Ret: -301.94; Var: 0.00512602; NE: 1.142; ACh: 0.662; ActLR: 0.00006250; EpCount0: 68; Solved: N
1080: Ret: -425.49; Last 100 Avg Ret: -333.77; Var: 0.00312499; NE: 1.142; ACh: 0.626; ActLR: 0.00006250; EpCount0: 69; Solved: N
1090: Ret: -479.19; Last 100 Avg Ret: -371.11; Var: 0.00505510; NE: 1.142; ACh: 0.661; ActLR: 0.00006250; EpCount0: 69; Solved: N
1100: Ret: -495.85; Last 100 Avg Ret: -404.64; Var: 0.00294221; NE: 1.142; ACh: 0.622; ActLR: 0.00006250; EpCount0: 70; Solved: N
1110: Ret: -308.45; Last 100 Avg Ret: -439.65; Var: 0.00512605; NE: 1.143; ACh: 0.662; ActLR: 0.00006250; EpCount0: 71; Solved: N
1120: Ret: -235.26; Last 100 Avg Ret: -455.06; Var: 0.00512144; NE: 1.142; ACh: 0.662; ActLR: 0.00006250; EpCount0: 71; Solved: N
1130: Ret: -488.42; Last 100 Avg Ret: -447.93; Var: 0.00340719; NE: 1.142; ACh: 0.632; ActLR: 0.00006250; EpCount0: 72; Solved: N
1140: Ret: -229.16; Last 100 Avg Ret: -427.65; Var: 0.00583840; NE: 1.142; ACh: 0.673; ActLR: 0.00006250; EpCount0: 72; Solved: N
1150: Ret: -276.83; Last 100 Avg Ret: -408.11; Var: 0.00412604; NE: 1.142; ACh: 0.645; ActLR: 0.00006250; EpCount0: 73; Solved: N
1160: Ret: -377.88; Last 100 Avg Ret: -388.95; Var: 0.00189494; NE: 1.142; ACh: 0.596; ActLR: 0.00006250; EpCount0: 74; Solved: N
1170: Ret: -409.14; Last 100 Avg Ret: -370.77; Var: 0.00214104; NE: 1.143; ACh: 0.603; ActLR: 0.00006250; EpCount0: 75; Solved: N
1180: Ret: -328.09; Last 100 Avg Ret: -359.89; Var: 0.00407950; NE: 1.142; ACh: 0.645; ActLR: 0.00006250; EpCount0: 75; Solved: N
1190: Ret: -266.74; Last 100 Avg Ret: -343.60; Var: 0.00170300; NE: 1.142; ACh: 0.591; ActLR: 0.00006250; EpCount0: 76; Solved: N
1200: Ret: -226.65; Last 100 Avg Ret: -332.02; Var: 0.00006300; NE: 1.143; ACh: 0.507; ActLR: 0.00006250; EpCount0: 77; Solved: N
1210: Ret: -250.25; Last 100 Avg Ret: -311.65; Var: 0.00325180; NE: 1.142; ACh: 0.629; ActLR: 0.00006250; EpCount0: 77; Solved: N
1220: Ret: -246.23; Last 100 Avg Ret: -299.24; Var: 0.01020043; NE: 1.142; ACh: 0.725; ActLR: 0.00006250; EpCount0: 77; Solved: N
1230: Ret: -177.58; Last 100 Avg Ret: -283.26; Var: 0.00144840; NE: 1.142; ACh: 0.583; ActLR: 0.00006250; EpCount0: 78; Solved: N
1240: Ret: -162.53; Last 100 Avg Ret: -282.39; Var: 0.00079327; NE: 1.142; ACh: 0.558; ActLR: 0.00006250; EpCount0: 79; Solved: N
1250: Ret: -135.98; Last 100 Avg Ret: -264.58; Var: 0.00074872; NE: 1.142; ACh: 0.556; ActLR: 0.00006250; EpCount0: 80; Solved: N
1260: Ret: -60.68; Last 100 Avg Ret: -263.96; Var: 0.00071564; NE: 1.143; ACh: 0.555; ActLR: 0.00006250; EpCount0: 81; Solved: N
1270: Ret: -263.57; Last 100 Avg Ret: -258.69; Var: 0.00280464; NE: 1.142; ACh: 0.619; ActLR: 0.00006250; EpCount0: 81; Solved: N
1280: Ret: -123.58; Last 100 Avg Ret: -248.76; Var: 0.00273675; NE: 1.142; ACh: 0.617; ActLR: 0.00006250; EpCount0: 82; Solved: N
1290: Ret: -19.24; Last 100 Avg Ret: -231.69; Var: 0.00177650; NE: 1.142; ACh: 0.593; ActLR: 0.00006250; EpCount0: 82; Solved: N
1300: Ret: -54.04; Last 100 Avg Ret: -205.48; Var: 0.00257959; NE: 1.142; ACh: 0.614; ActLR: 0.00006250; EpCount0: 83; Solved: N
1310: Ret: -195.16; Last 100 Avg Ret: -191.36; Var: 0.00136150; NE: 1.142; ACh: 0.580; ActLR: 0.00006250; EpCount0: 84; Solved: N
1320: Ret: -44.68; Last 100 Avg Ret: -178.86; Var: 0.00211183; NE: 1.142; ACh: 0.602; ActLR: 0.00006250; EpCount0: 84; Solved: N
1330: Ret: -32.03; Last 100 Avg Ret: -164.67; Var: 0.00120611; NE: 1.143; ACh: 0.575; ActLR: 0.00006250; EpCount0: 84; Solved: N
1340: Ret: 13.63; Last 100 Avg Ret: -132.27; Var: 0.00100663; NE: 1.143; ACh: 0.567; ActLR: 0.00006250; EpCount0: 84; Solved: N
