Start Switch CartPole (Decoupled Uncertainty: NE~Novelty, ACh~Variance). Episodes: 15000
Ep 6000 | INVERTED | R: 119 | Avg: 166.2 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 7.64 | Unexpected: 0.25 | Expected: 10.37
Ep 6100 | INVERTED | R: 103 | Avg: 210.1 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 3.94 | Unexpected: 0.25 | Expected: 10.32
Ep 6200 | INVERTED | R: 156 | Avg: 204.8 | NE: 1.53 | ACh: 0.0101 | LR: 0.000100 | TDsig: 19.46 | Unexpected: 0.26 | Expected: 9.55
Ep 6300 | INVERTED | R: 181 | Avg: 167.0 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 2.68 | Unexpected: 0.25 | Expected: 9.02
Ep 6400 | INVERTED | R:  85 | Avg: 197.3 | NE: 1.50 | ACh: 0.0100 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 5.43
Ep 6500 | INVERTED | R:  82 | Avg: 164.4 | NE: 1.53 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.26 | Expected: 6.76
Ep 6600 | INVERTED | R: 128 | Avg: 179.6 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 7.82 | Unexpected: 0.24 | Expected: 11.20
Ep 6700 | INVERTED | R: 385 | Avg: 188.7 | NE: 1.51 | ACh: 0.0079 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 4.12
Ep 6800 | INVERTED | R: 166 | Avg: 184.2 | NE: 1.48 | ACh: 0.0097 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 4.76
Ep 6900 | INVERTED | R: 166 | Avg: 194.9 | NE: 1.48 | ACh: 0.0101 | LR: 0.000100 | TDsig: 16.52 | Unexpected: 0.23 | Expected: 8.20
Ep 7000 | INVERTED | R: 248 | Avg: 186.3 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 16.74 | Unexpected: 0.24 | Expected: 6.92
Ep 7100 | INVERTED | R: 170 | Avg: 185.5 | NE: 1.53 | ACh: 0.0101 | LR: 0.000100 | TDsig: 14.95 | Unexpected: 0.26 | Expected: 9.35
Ep 7200 | INVERTED | R: 245 | Avg: 209.8 | NE: 1.51 | ACh: 0.0100 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 5.71
Ep 7300 | INVERTED | R: 126 | Avg: 200.7 | NE: 1.53 | ACh: 0.0097 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.26 | Expected: 4.81
Ep 7400 | INVERTED | R: 226 | Avg: 195.7 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 12.00 | Unexpected: 0.25 | Expected: 10.71
Ep 7500 | INVERTED | R: 215 | Avg: 165.1 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 7.97
Ep 7600 | INVERTED | R: 269 | Avg: 210.9 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 19.93 | Unexpected: 0.25 | Expected: 7.32
Ep 7700 | INVERTED | R: 143 | Avg: 211.1 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 9.40 | Unexpected: 0.24 | Expected: 10.85
Ep 7800 | INVERTED | R: 209 | Avg: 218.8 | NE: 1.47 | ACh: 0.0101 | LR: 0.000100 | TDsig: 3.52 | Unexpected: 0.23 | Expected: 10.54
Ep 7900 | INVERTED | R: 199 | Avg: 219.7 | NE: 1.46 | ACh: 0.0101 | LR: 0.000100 | TDsig: 14.64 | Unexpected: 0.22 | Expected: 9.52
Ep 8000 | INVERTED | R: 246 | Avg: 189.2 | NE: 1.50 | ACh: 0.0075 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 4.05
Ep 8100 | INVERTED | R: 120 | Avg: 190.5 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 4.44 | Unexpected: 0.25 | Expected: 10.92
Ep 8200 | INVERTED | R: 210 | Avg: 172.1 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 14.63 | Unexpected: 0.25 | Expected: 8.88
Ep 8300 | INVERTED | R: 232 | Avg: 220.7 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 12.83 | Unexpected: 0.24 | Expected: 9.69
Ep 8400 | INVERTED | R: 176 | Avg: 199.2 | NE: 1.53 | ACh: 0.0101 | LR: 0.000100 | TDsig: 5.98 | Unexpected: 0.26 | Expected: 11.20
Ep 8500 | INVERTED | R: 239 | Avg: 174.2 | NE: 1.53 | ACh: 0.0101 | LR: 0.000100 | TDsig: 14.56 | Unexpected: 0.26 | Expected: 6.30
Ep 8600 | INVERTED | R: 287 | Avg: 197.9 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 19.89 | Unexpected: 0.25 | Expected: 8.18
Ep 8700 | INVERTED | R: 175 | Avg: 197.8 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 1.58 | Unexpected: 0.25 | Expected: 11.96
Ep 8800 | INVERTED | R: 109 | Avg: 197.1 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 7.47
Ep 8900 | INVERTED | R: 218 | Avg: 189.3 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 18.84 | Unexpected: 0.24 | Expected: 7.77
Ep 9000 | INVERTED | R: 224 | Avg: 183.1 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 6.32
Ep 9100 | INVERTED | R: 155 | Avg: 181.3 | NE: 1.50 | ACh: 0.0101 | LR: 0.000100 | TDsig: 5.34 | Unexpected: 0.24 | Expected: 11.19
Ep 9200 | INVERTED | R: 500 | Avg: 185.7 | NE: 1.52 | ACh: 0.0002 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 2.18
Ep 9300 | INVERTED | R: 222 | Avg: 209.7 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 8.67
Ep 9400 | INVERTED | R: 126 | Avg: 163.3 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 14.46 | Unexpected: 0.25 | Expected: 6.99
Ep 9500 | INVERTED | R:  81 | Avg: 171.9 | NE: 1.49 | ACh: 0.0101 | LR: 0.000100 | TDsig: 17.16 | Unexpected: 0.24 | Expected: 9.59
Ep 9600 | INVERTED | R: 138 | Avg: 202.8 | NE: 1.49 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 9.14
Ep 9700 | INVERTED | R: 313 | Avg: 190.8 | NE: 1.49 | ACh: 0.0092 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.24 | Expected: 4.49
Ep 9800 | INVERTED | R: 221 | Avg: 169.3 | NE: 1.56 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.27 | Expected: 6.43
Ep 9900 | INVERTED | R: 142 | Avg: 173.3 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 18.90 | Unexpected: 0.25 | Expected: 6.51
Ep 10000 | INVERTED | R: 146 | Avg: 144.7 | NE: 1.54 | ACh: 0.0101 | LR: 0.000100 | TDsig: 18.12 | Unexpected: 0.26 | Expected: 11.15
Ep 10100 | INVERTED | R: 130 | Avg: 154.9 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 7.87
Ep 10200 | INVERTED | R: 167 | Avg: 173.8 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 5.02 | Unexpected: 0.25 | Expected: 11.77
Ep 10300 | INVERTED | R: 125 | Avg: 195.2 | NE: 1.51 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 6.81
Ep 10400 | INVERTED | R: 165 | Avg: 156.2 | NE: 1.52 | ACh: 0.0101 | LR: 0.000100 | TDsig: 6.76 | Unexpected: 0.25 | Expected: 9.51
Ep 10500 | INVERTED | R: 203 | Avg: 187.2 | NE: 1.48 | ACh: 0.0101 | LR: 0.000100 | TDsig: 18.19 | Unexpected: 0.24 | Expected: 9.08
Ep 10600 | INVERTED | R: 179 | Avg: 217.9 | NE: 1.52 | ACh: 0.0095 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.25 | Expected: 4.64
