Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
1570: Ret: -159.07; Last 100 Avg Ret: -129.45; Var: 0.00269241; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1580: Ret: -143.06; Last 100 Avg Ret: -126.93; Var: 0.00143766; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1590: Ret: -135.73; Last 100 Avg Ret: -128.52; Var: 0.00001608; NE: 1.143; ACh: 0.000; ActLR: 0.00028243; Solved: N
1600: Ret: 12.80; Last 100 Avg Ret: -129.53; Var: 0.00186813; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1610: Ret: -124.99; Last 100 Avg Ret: -129.57; Var: 0.00033855; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1620: Ret: -138.59; Last 100 Avg Ret: -132.99; Var: 0.00036702; NE: 1.142; ACh: 0.000; ActLR: 0.00012158; Solved: N
1630: Ret: -183.76; Last 100 Avg Ret: -132.86; Var: 0.00323767; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1640: Ret: -179.95; Last 100 Avg Ret: -131.67; Var: 0.00041448; NE: 1.142; ACh: 0.000; ActLR: 0.00010942; Solved: N
1650: Ret: -113.02; Last 100 Avg Ret: -132.30; Var: 0.00073994; NE: 1.142; ACh: 0.000; ActLR: 0.00031381; Solved: N
1660: Ret: -159.43; Last 100 Avg Ret: -129.40; Var: 0.00271587; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1670: Ret: -115.09; Last 100 Avg Ret: -127.10; Var: 0.00108954; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1680: Ret: -146.49; Last 100 Avg Ret: -130.16; Var: 0.00020193; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1690: Ret: -127.86; Last 100 Avg Ret: -130.78; Var: 0.00062835; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1700: Ret: -145.46; Last 100 Avg Ret: -130.04; Var: 0.00018786; NE: 1.142; ACh: 0.000; ActLR: 0.00018530; Solved: N
1710: Ret: -151.53; Last 100 Avg Ret: -128.10; Var: 0.00043048; NE: 1.142; ACh: 0.000; ActLR: 0.00038742; Solved: N
1720: Ret: -106.53; Last 100 Avg Ret: -124.83; Var: 0.00149423; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
