96: Ret: -171.89; Last 100 Avg Ret: -178.78; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
97: Ret: -127.97; Last 100 Avg Ret: -178.25; Var: 0.00096058; NE: 1.143; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
98: Ret: -93.98; Last 100 Avg Ret: -177.39; Var: 0.00093068; NE: 1.143; ACh: 0.564; ActLR: 0.00006250; EpCount0: 6; Solved: N
99: Ret: -189.42; Last 100 Avg Ret: -177.52; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
100: Ret: -210.61; Last 100 Avg Ret: -177.85; Var: 0.00096058; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
101: Ret: -181.50; Last 100 Avg Ret: -178.53; Var: 0.00095701; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
102: Ret: -279.16; Last 100 Avg Ret: -179.97; Var: 0.00095962; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
103: Ret: -100.16; Last 100 Avg Ret: -179.72; Var: 0.00094577; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
104: Ret: -92.89; Last 100 Avg Ret: -179.63; Var: 0.00095952; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
105: Ret: -157.99; Last 100 Avg Ret: -180.16; Var: 0.00096112; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
106: Ret: -176.39; Last 100 Avg Ret: -180.86; Var: 0.00093075; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 6; Solved: N
107: Ret: -128.71; Last 100 Avg Ret: -180.24; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
108: Ret: -6.05; Last 100 Avg Ret: -177.61; Var: 0.00093076; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 6; Solved: N
109: Ret: -197.04; Last 100 Avg Ret: -178.29; Var: 0.00096112; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
110: Ret: -205.13; Last 100 Avg Ret: -176.41; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 6; Solved: N
111: Ret: -175.09; Last 100 Avg Ret: -177.17; Var: 0.00093076; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 7; Solved: N
112: Ret: -88.60; Last 100 Avg Ret: -174.77; Var: 0.00093076; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 7; Solved: N
113: Ret: -98.03; Last 100 Avg Ret: -174.60; Var: 0.00087684; NE: 1.142; ACh: 0.562; ActLR: 0.00006250; EpCount0: 7; Solved: N
