episode,is_optimal,surprise
1120,1,0.000000
1121,1,0.000000
1122,1,0.000000
1123,1,0.000000
1124,1,0.000000
1125,1,0.000000
1126,1,0.000000
1127,1,0.000000
1128,1,0.000000
1129,1,0.000000
1130,1,0.000000
1131,1,0.000000
1132,1,0.000000
1133,1,0.000000
1134,1,0.000000
1135,1,0.000000
1136,1,0.000000
1137,1,0.000000
1138,1,0.000000
1139,1,0.000000
1140,1,0.000000
1141,1,0.000000
1142,1,0.000000
1143,1,0.000000
1144,1,0.000000
1145,1,0.000000
1146,1,0.000000
1147,1,0.000000
1148,1,0.000000
1149,1,0.000000
1150,1,0.000000
1151,1,0.000000
1152,1,0.000000
1153,1,0.000000
1154,0,0.092764
1155,1,0.083488
1156,1,0.075139
1157,1,0.067625
1158,1,0.060863
1159,1,0.054776
1160,1,0.049299
1161,1,0.044369
1162,1,0.039932
1163,1,0.035939
1164,1,0.032345
1165,1,0.029110
1166,1,0.026199
1167,1,0.023579
1168,1,0.021221
1169,1,0.019099
1170,1,0.017189
1171,1,0.015470
1172,1,0.013923
1173,1,0.012531
1174,1,0.011278
1175,1,0.010150
1176,1,0.009135
1177,1,0.008222
1178,1,0.007399
1179,1,0.006660
1180,1,0.005994
1181,1,0.005394
1182,1,0.004855
1183,1,0.004369
1184,1,0.003932
1185,1,0.003539
1186,1,0.003185
1187,1,0.002867
1188,1,0.002580
1189,1,0.002322
1190,1,0.002090
1191,1,0.001881
1192,1,0.001693
1193,1,0.001523
1194,1,0.001371
1195,1,0.001234
1196,1,0.001111
1197,1,0.001000
1198,1,0.000900
1199,1,0.000810
1200,1,0.000729
1201,1,0.000656
1202,1,0.000590
1203,1,0.000531
1204,1,0.000478
1205,1,0.000430
1206,0,0.096849
1207,1,0.087164
1208,1,0.078448
1209,1,0.070603
1210,1,0.063543
1211,1,0.057189
1212,1,0.051470
1213,1,0.046323
1214,1,0.041690
1215,1,0.037521
1216,1,0.033769
1217,1,0.030392
1218,1,0.027353
1219,1,0.024618
1220,1,0.022156
1221,1,0.019940
1222,1,0.017946
1223,1,0.016152
1224,1,0.014537
1225,1,0.013083
1226,1,0.011775
1227,1,0.010597
1228,1,0.009537
1229,1,0.008584
1230,1,0.007725
1231,1,0.006953
1232,1,0.006258
1233,1,0.005632
1234,1,0.005069
1235,1,0.004562
1236,1,0.004106
1237,1,0.003695
1238,1,0.003325
1239,1,0.002993
1240,1,0.002694
1241,1,0.002424
1242,1,0.002182
1243,1,0.001964
1244,1,0.001767
1245,1,0.001591
1246,1,0.001432
1247,1,0.001288
1248,1,0.001160
1249,1,0.001044
1250,1,0.000939
1251,1,0.000845
1252,1,0.000761
1253,1,0.000685
1254,1,0.000616
1255,1,0.000555
1256,1,0.000499
1257,1,0.000449
1258,1,0.000404
1259,1,0.000364
1260,1,0.000327
1261,1,0.000295
1262,1,0.000265
1263,1,0.000239
1264,1,0.000215
1265,1,0.000193
1266,1,0.000174
1267,1,0.000157
1268,1,0.000141
1269,1,0.000127
1270,1,0.000114
1271,1,0.000103
1272,1,0.000092
1273,1,0.000083
1274,1,0.000075
1275,1,0.000067
1276,1,0.000061
1277,1,0.000055
1278,1,0.000049
1279,1,0.000044
1280,1,0.000040
1281,1,0.000036
1282,1,0.000032
1283,1,0.000029
1284,1,0.000026
1285,1,0.000024
1286,1,0.000021
1287,1,0.000019
1288,1,0.000017
1289,1,0.000015
1290,1,0.000014
1291,1,0.000012
1292,1,0.000011
1293,1,0.000010
1294,1,0.000009
1295,1,0.000008
1296,1,0.000007
1297,1,0.000007
1298,1,0.000006
1299,1,0.000005
1300,1,0.000005
1301,1,0.000004
1302,1,0.000004
1303,1,0.000004
1304,1,0.000003
1305,1,0.000003
1306,1,0.000003
1307,1,0.000002
1308,1,0.000002
1309,1,0.000002
1310,1,0.000002
1311,1,0.000002
1312,1,0.000001
1313,1,0.000001
1314,1,0.000001
1315,1,0.000001
1316,1,0.000001
1317,1,0.000001
1318,1,0.000001
1319,1,0.000001
1320,1,0.000001
1321,1,0.000001
1322,1,0.000000
1323,1,0.000000
1324,1,0.000000
1325,1,0.000000
1326,1,0.000000
1327,1,0.000000
1328,1,0.000000
1329,1,0.000000
1330,1,0.000000
1331,1,0.000000
1332,1,0.000000
1333,1,0.000000
1334,1,0.000000
1335,1,0.000000
1336,1,0.000000
1337,1,0.000000
1338,1,0.000000
1339,1,0.000000
1340,1,0.000000
1341,1,0.000000
1342,1,0.000000
1343,1,0.000000
1344,1,0.000000
1345,1,0.000000
1346,1,0.000000
1347,1,0.000000
1348,1,0.000000
1349,1,0.000000
1350,1,0.000000
1351,1,0.000000
1352,1,0.000000
1353,1,0.000000
1354,1,0.000000
1355,1,0.000000
1356,1,0.000000
1357,1,0.000000
1358,1,0.000000
1359,1,0.000000
1360,1,0.000000
1361,1,0.000000
1362,1,0.000000
1363,1,0.000000
1364,1,0.000000
1365,1,0.000000
1366,1,0.000000
1367,1,0.000000
1368,1,0.000000
1369,1,0.000000
1370,1,0.000000
1371,1,0.000000
1372,1,0.000000
1373,1,0.000000
1374,1,0.000000
1375,1,0.000000
1376,1,0.000000
1377,1,0.000000
1378,1,0.000000
1379,1,0.000000
1380,1,0.000000
1381,1,0.000000
1382,1,0.000000
1383,1,0.000000
1384,1,0.000000
1385,1,0.000000
1386,1,0.000000
1387,1,0.000000
1388,1,0.000000
1389,1,0.000000
1390,1,0.000000
1391,1,0.000000
1392,1,0.000000
1393,1,0.000000
1394,1,0.000000
1395,1,0.000000
1396,1,0.000000
1397,1,0.000000
1398,1,0.000000
1399,1,0.000000
1400,1,0.000000
1401,1,0.000000
1402,1,0.000000
1403,1,0.000000
1404,1,0.000000
1405,1,0.000000
1406,1,0.000000
1407,1,0.000000
1408,1,0.000000
1409,1,0.000000
1410,1,0.000000
1411,1,0.000000
1412,1,0.000000
1413,1,0.000000
1414,1,0.000000
1415,1,0.000000
1416,1,0.000000
1417,1,0.000000
1418,1,0.000000
1419,1,0.000000
1420,1,0.000000
1421,1,0.000000
1422,1,0.000000
1423,1,0.000000
1424,1,0.000000
1425,1,0.000000
1426,1,0.000000
1427,1,0.000000
1428,1,0.000000
1429,1,0.000000
1430,1,0.000000
1431,1,0.000000
1432,1,0.000000
1433,1,0.000000
1434,1,0.000000
1435,1,0.000000
1436,1,0.000000
1437,1,0.000000
1438,1,0.000000
1439,1,0.000000
1440,1,0.000000
1441,1,0.000000
1442,1,0.000000
1443,1,0.000000
1444,1,0.000000
1445,1,0.000000
1446,1,0.000000
1447,1,0.000000
1448,1,0.000000
1449,1,0.000000
1450,1,0.000000
1451,1,0.000000
1452,1,0.000000
1453,1,0.000000
1454,1,0.000000
1455,1,0.000000
1456,1,0.000000
1457,1,0.000000
1458,1,0.000000
1459,1,0.000000
1460,1,0.000000
1461,1,0.000000
1462,1,0.000000
1463,1,0.000000
1464,1,0.000000
1465,1,0.000000
1466,1,0.000000
1467,1,0.000000
1468,1,0.000000
1469,1,0.000000
1470,1,0.000000
1471,1,0.000000
1472,1,0.000000
1473,1,0.000000
1474,1,0.000000
1475,1,0.000000
1476,1,0.000000
1477,1,0.000000
1478,1,0.000000
1479,1,0.000000
1480,1,0.000000
1481,1,0.000000
1482,1,0.000000
1483,1,0.000000
1484,1,0.000000
1485,1,0.000000
1486,1,0.000000
1487,1,0.000000
1488,1,0.000000
1489,1,0.000000
1490,1,0.000000
1491,1,0.000000
