Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
1040: Ret: -864.72; Last 100 Avg Ret: -146.92; Var: 0.01025004; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1050: Ret: -474.50; Last 100 Avg Ret: -181.77; Var: 0.00511760; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1060: Ret: -754.38; Last 100 Avg Ret: -243.44; Var: 0.01025208; NE: 1.143; ACh: 1.000; ActLR: 0.00100000; Solved: N
1070: Ret: -858.55; Last 100 Avg Ret: -335.08; Var: 0.00521596; NE: 1.144; ACh: 0.001; ActLR: 0.00006250; Solved: N
1080: Ret: -593.83; Last 100 Avg Ret: -395.70; Var: 0.00512599; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1090: Ret: -432.60; Last 100 Avg Ret: -455.76; Var: 0.00110035; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1100: Ret: -507.64; Last 100 Avg Ret: -518.10; Var: 0.00168906; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1110: Ret: -364.81; Last 100 Avg Ret: -541.05; Var: 0.00521937; NE: 1.142; ACh: 0.001; ActLR: 0.00006250; Solved: N
1120: Ret: -611.14; Last 100 Avg Ret: -538.76; Var: 0.00060835; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
1130: Ret: -374.52; Last 100 Avg Ret: -522.39; Var: 0.00133860; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1140: Ret: -310.76; Last 100 Avg Ret: -509.14; Var: 0.00214262; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1150: Ret: -592.29; Last 100 Avg Ret: -512.61; Var: 0.00991175; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1160: Ret: -493.71; Last 100 Avg Ret: -509.02; Var: 0.00507882; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1170: Ret: -404.51; Last 100 Avg Ret: -486.57; Var: 0.00183046; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
1180: Ret: -897.59; Last 100 Avg Ret: -484.65; Var: 0.00241821; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1190: Ret: -753.87; Last 100 Avg Ret: -488.25; Var: 0.00516113; NE: 1.142; ACh: 0.001; ActLR: 0.00006250; Solved: N
