Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
800: Ret: -36.77; Last 100 Avg Ret: 26.89; Var: 0.00062789; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
810: Ret: 129.17; Last 100 Avg Ret: 29.10; Var: 0.00030286; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
820: Ret: 28.01; Last 100 Avg Ret: 30.26; Var: 0.00013292; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
830: Ret: 2.77; Last 100 Avg Ret: 27.60; Var: 0.00095963; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
840: Ret: 132.39; Last 100 Avg Ret: 24.16; Var: 0.00049703; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
850: Ret: -10.15; Last 100 Avg Ret: 28.64; Var: 0.00058781; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
860: Ret: 162.59; Last 100 Avg Ret: 42.39; Var: 0.00096314; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
870: Ret: -57.69; Last 100 Avg Ret: 53.45; Var: 0.00007665; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
880: Ret: -28.16; Last 100 Avg Ret: 60.73; Var: 0.00028027; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
890: Ret: 248.48; Last 100 Avg Ret: 72.01; Var: 0.00050700; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
900: Ret: 247.96; Last 100 Avg Ret: 70.83; Var: 0.00061750; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
910: Ret: -55.30; Last 100 Avg Ret: 67.23; Var: 0.00021919; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
920: Ret: 210.37; Last 100 Avg Ret: 68.53; Var: 0.00077363; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
930: Ret: 11.78; Last 100 Avg Ret: 66.81; Var: 0.00059332; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
