Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
1100: Ret: -835.18; Last 100 Avg Ret: -714.01; Var: 0.00513905; NE: 1.142; ACh: 0.001; ActLR: 0.00006250; Solved: N
1110: Ret: -987.84; Last 100 Avg Ret: -760.60; Var: 0.00992179; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1120: Ret: -707.98; Last 100 Avg Ret: -808.47; Var: 0.00902308; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1130: Ret: -593.34; Last 100 Avg Ret: -838.12; Var: 0.01011675; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1140: Ret: -744.83; Last 100 Avg Ret: -853.63; Var: 0.00506626; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1150: Ret: -748.69; Last 100 Avg Ret: -873.09; Var: 0.01025198; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1160: Ret: -678.70; Last 100 Avg Ret: -895.22; Var: 0.00512285; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
1170: Ret: -1345.62; Last 100 Avg Ret: -884.33; Var: 0.01025207; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1180: Ret: -931.45; Last 100 Avg Ret: -894.14; Var: 0.01024997; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1190: Ret: -677.31; Last 100 Avg Ret: -859.04; Var: 0.00512596; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1200: Ret: -491.64; Last 100 Avg Ret: -818.32; Var: 0.01025190; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1210: Ret: -1197.82; Last 100 Avg Ret: -856.54; Var: 0.00992726; NE: 1.143; ACh: 1.000; ActLR: 0.00100000; Solved: N
1220: Ret: -747.22; Last 100 Avg Ret: -815.70; Var: 0.01013284; NE: 1.143; ACh: 1.000; ActLR: 0.00100000; Solved: N
1230: Ret: -2174.79; Last 100 Avg Ret: -821.59; Var: 0.01004926; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1240: Ret: -534.15; Last 100 Avg Ret: -818.14; Var: 0.01025097; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1250: Ret: -752.48; Last 100 Avg Ret: -800.70; Var: 0.01025168; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1260: Ret: -757.05; Last 100 Avg Ret: -760.40; Var: 0.01025204; NE: 1.143; ACh: 1.000; ActLR: 0.00100000; Solved: N
1270: Ret: -1555.98; Last 100 Avg Ret: -799.23; Var: 0.01025208; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1280: Ret: -562.77; Last 100 Avg Ret: -809.84; Var: 0.00346895; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1290: Ret: -567.32; Last 100 Avg Ret: -805.05; Var: 0.00816975; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1300: Ret: -479.08; Last 100 Avg Ret: -821.94; Var: 0.00511597; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1310: Ret: -583.25; Last 100 Avg Ret: -777.73; Var: 0.01019259; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
1320: Ret: -531.15; Last 100 Avg Ret: -778.68; Var: 0.00415775; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
1330: Ret: -478.60; Last 100 Avg Ret: -773.41; Var: 0.01025146; NE: 1.142; ACh: 1.000; ActLR: 0.00100000; Solved: N
