window_end_episode,mean_reward_rate,std_reward_rate
25250,49.900000,7.112665
25300,47.000000,6.148170
25350,48.600000,8.126500
25400,47.600000,6.019967
25450,48.000000,8.124038
25500,49.200000,6.584831
25550,48.500000,7.372245
25600,46.600000,7.405403
25650,49.200000,4.995998
25700,47.000000,5.813777
25750,46.500000,6.568866
25800,48.600000,7.512656
25850,48.700000,6.205643
25900,46.000000,7.266361
25950,50.300000,6.458328
26000,46.000000,9.359487
26050,45.100000,6.081940
26100,49.200000,5.381450
26150,46.000000,6.387488
26200,47.700000,6.458328
26250,49.100000,7.112665
26300,48.600000,6.483826
26350,45.600000,7.552483
26400,49.400000,6.452906
26450,49.900000,8.659677
26500,48.600000,5.902542
26550,48.400000,6.216108
26600,48.800000,8.772685
26650,49.200000,6.968501
26700,48.700000,6.396093
26750,49.500000,5.860887
26800,49.200000,7.467262
26850,49.400000,6.452906
26900,48.200000,7.208329
26950,49.500000,7.207635
27000,47.500000,5.361903
27050,46.400000,5.748043
27100,47.300000,6.301587
27150,47.900000,7.168682
27200,47.900000,5.915235
27250,46.800000,9.537295
27300,46.400000,6.118823
27350,47.900000,6.941902
27400,46.000000,7.797435
27450,48.700000,6.790434
27500,49.900000,4.448595
27550,44.500000,7.716865
27600,46.900000,10.667240
27650,44.900000,6.825687
27700,47.900000,4.403408
27750,47.800000,6.193545
27800,47.600000,5.782733
27850,45.500000,6.445929
27900,49.000000,7.307530
27950,46.000000,7.456541
28000,46.700000,6.173330
28050,47.300000,6.009160
28100,49.000000,6.403124
28150,44.100000,6.556676
28200,48.000000,5.656854
28250,45.400000,8.248636
28300,46.600000,5.517246
28350,48.200000,5.509991
28400,49.900000,6.015812
28450,47.500000,6.837397
28500,44.300000,7.463913
28550,49.600000,4.586938
28600,48.400000,7.088018
28650,48.700000,5.070503
28700,47.400000,8.200000
28750,46.000000,6.131884
28800,46.200000,5.929587
28850,47.400000,7.670724
28900,49.900000,6.737210
28950,51.800000,6.808818
29000,47.500000,6.659580
29050,46.400000,6.374951
29100,48.400000,6.916647
29150,46.200000,8.738421
29200,47.000000,7.000000
29250,46.100000,5.847222
29300,48.000000,7.183314
29350,48.800000,7.359348
29400,47.500000,8.315648
29450,45.400000,8.248636
29500,48.200000,5.325411
29550,46.500000,7.819847
29600,48.900000,6.402343
29650,47.700000,6.849088
29700,47.700000,4.950758
29750,49.200000,7.222188
29800,48.500000,7.453187
29850,47.100000,7.168682
29900,44.300000,5.840377
29950,49.600000,7.337575
30000,46.800000,7.277362
30050,12.500000,4.852834
30100,14.000000,8.124038
30150,12.200000,6.257795
30200,12.500000,5.687706
30250,14.000000,6.928203
30300,13.300000,6.581033
30350,12.500000,7.372245
30400,12.400000,6.887670
30450,13.600000,7.552483
30500,12.100000,7.575619
30550,12.600000,6.359245
30600,12.900000,6.825687
30650,12.500000,5.435991
30700,13.800000,6.660330
30750,14.300000,6.790434
30800,14.100000,7.388505
30850,12.500000,4.421538
30900,13.200000,6.794115
30950,11.400000,5.295281
31000,13.100000,8.281908
31050,11.800000,5.723635
31100,13.200000,6.431174
31150,12.700000,5.559676
31200,14.000000,6.723095
31250,14.100000,6.677574
31300,14.100000,5.847222
31350,16.600000,7.696753
31400,14.900000,9.240671
31450,16.300000,5.806031
31500,16.100000,7.911384
31550,13.700000,5.450688
31600,15.000000,6.496153
31650,13.700000,7.383089
31700,15.900000,8.111104
31750,16.800000,8.352245
31800,17.100000,7.549172
31850,18.000000,9.230385
31900,20.500000,9.140569
31950,17.700000,8.701149
32000,18.100000,8.566796
32050,19.800000,8.340264
32100,22.700000,10.550355
32150,24.200000,13.006152
32200,24.800000,10.759182
32250,26.900000,13.834377
32300,26.000000,14.324804
32350,26.900000,9.240671
32400,30.300000,12.317061
32450,32.700000,15.585570
32500,33.000000,13.921207
32550,33.500000,15.044933
32600,39.800000,14.183089
32650,37.900000,15.066187
32700,38.900000,15.485154
32750,40.200000,16.684124
32800,44.000000,16.443844
32850,41.700000,16.724533
32900,47.600000,14.164745
32950,49.100000,14.892616
33000,51.300000,15.559884
33050,52.100000,16.546601
33100,56.500000,16.135365
33150,56.700000,15.222024
33200,55.900000,14.607875
33250,62.200000,13.174217
33300,65.100000,10.382196
33350,64.600000,11.766053
33400,68.300000,11.476498
33450,69.400000,10.846197
33500,69.900000,11.357376
33550,72.500000,13.021137
33600,75.300000,8.301205
33650,75.600000,10.423051
33700,76.100000,7.084490
33750,78.300000,5.874521
33800,78.700000,10.359054
33850,82.400000,6.216108
33900,81.300000,8.860587
33950,82.300000,8.397023
34000,81.800000,8.411896
34050,84.700000,8.179853
34100,87.300000,7.383089
34150,85.100000,6.464519
34200,84.700000,8.155366
34250,87.700000,7.022108
34300,87.000000,4.959839
34350,86.400000,6.118823
34400,87.000000,6.403124
34450,87.700000,5.736724
34500,87.300000,6.108191
34550,86.700000,7.246378
34600,87.000000,7.169379
34650,86.100000,7.886064
34700,88.800000,5.230679
34750,88.200000,6.808818
34800,87.500000,5.172040
34850,86.400000,6.019967
34900,87.300000,6.819824
34950,89.700000,5.030904
35000,88.200000,6.867314
35050,87.900000,6.999286
35100,90.700000,4.528797
35150,88.300000,6.364747
35200,86.500000,6.568866
35250,87.900000,7.911384
35300,86.800000,6.675328
35350,86.600000,8.392854
35400,88.600000,6.036555
35450,86.800000,8.084553
35500,87.500000,8.505880
35550,86.300000,6.581033
35600,85.900000,8.819864
35650,87.600000,8.260751
35700,85.300000,8.860587
35750,84.000000,10.677078
35800,85.000000,10.927031
35850,83.700000,10.025468
35900,82.300000,11.336225
35950,81.900000,14.497931
36000,79.200000,12.448293
36050,79.800000,14.627372
36100,78.800000,14.647867
36150,78.300000,15.559884
36200,78.400000,14.840485
36250,73.200000,16.277592
36300,74.000000,16.395121
36350,73.800000,17.203488
36400,72.300000,18.179934
36450,70.900000,17.452507
36500,70.100000,16.846068
36550,67.900000,15.211509
36600,67.700000,14.103546
36650,61.700000,15.469648
36700,63.500000,13.680278
36750,61.500000,14.503448
36800,61.500000,13.621674
36850,56.400000,13.395522
36900,60.600000,8.674099
36950,57.500000,11.608187
37000,58.100000,8.519977
37050,54.400000,9.911609
37100,56.100000,7.495999
37150,55.100000,7.860662
37200,52.300000,8.860587
37250,51.500000,7.996874
37300,51.500000,5.757604
37350,53.800000,6.289674
37400,49.600000,8.890444
37450,50.000000,7.563068
37500,49.200000,9.173876
37550,49.300000,5.908468
37600,52.900000,9.787237
37650,50.500000,5.792236
37700,50.300000,6.936137
37750,50.200000,7.152622
37800,49.300000,7.301370
37850,49.000000,5.567764
37900,46.900000,8.257724
37950,47.600000,6.468385
38000,48.400000,7.552483
38050,48.600000,6.814690
38100,48.400000,7.445804
38150,47.400000,6.200000
38200,46.800000,6.273755
38250,48.500000,6.062178
38300,47.400000,7.539231
38350,50.000000,8.099383
38400,47.200000,10.087616
38450,50.300000,7.649183
38500,48.100000,5.743692
38550,49.400000,6.452906
38600,47.400000,7.952358
38650,47.600000,6.916647
38700,50.500000,4.511097
38750,49.800000,7.426978
38800,48.100000,7.549172
38850,50.500000,7.317787
38900,47.800000,6.896376
38950,48.100000,5.743692
39000,48.200000,5.929587
39050,45.800000,6.867314
39100,50.800000,6.852737
39150,49.800000,5.582114
39200,54.100000,8.887632
39250,46.400000,5.953150
39300,48.800000,7.138627
39350,48.500000,7.845381
39400,49.700000,8.515280
39450,50.800000,6.584831
39500,46.600000,8.627862
39550,48.000000,6.164414
39600,47.200000,6.823489
39650,48.400000,7.445804
39700,49.800000,7.263608
39750,47.600000,5.276362
39800,47.800000,7.480642
39850,47.500000,9.399468
39900,48.400000,5.817216
39950,47.100000,7.469270
40000,46.400000,6.681317
40050,48.900000,7.306846
40100,48.400000,7.735632
40150,47.400000,4.943683
40200,46.100000,7.251896
40250,49.500000,7.612490
40300,49.700000,8.746999
40350,50.000000,8.049845
40400,46.600000,6.636264
40450,47.600000,6.529931
40500,47.600000,7.525955
40550,46.600000,7.774317
40600,46.100000,5.309426
40650,50.400000,7.989994
40700,45.700000,9.513674
40750,49.100000,7.469270
40800,51.200000,8.953212
40850,47.200000,6.305553
40900,49.400000,8.077128
40950,46.100000,6.677574
41000,44.900000,8.330066
41050,49.200000,5.564171
41100,46.100000,5.638262
41150,47.600000,7.391887
41200,45.000000,6.049793
41250,48.400000,5.748043
41300,45.500000,7.845381
41350,48.800000,4.664762
41400,47.800000,5.617829
41450,48.700000,6.301587
41500,48.200000,6.838128
41550,47.300000,6.075360
41600,46.300000,5.631163
41650,51.300000,7.753064
41700,46.600000,5.868560
41750,49.300000,6.489222
41800,47.200000,6.734983
41850,48.000000,7.848567
41900,45.900000,6.913031
41950,44.700000,5.559676
42000,45.100000,7.575619
42050,50.400000,6.151423
42100,49.100000,7.654410
42150,49.300000,7.022108
42200,49.400000,7.927168
42250,46.000000,5.440588
42300,50.000000,5.830952
42350,44.400000,8.522910
42400,48.500000,6.808083
42450,47.300000,5.187485
42500,47.800000,5.688585
42550,48.500000,7.768526
42600,46.500000,5.894913
42650,46.800000,6.554388
42700,46.700000,9.279547
42750,47.000000,4.795832
42800,48.900000,7.654410
42850,47.400000,8.765843
42900,48.700000,6.301587
42950,46.300000,8.724105
43000,46.500000,7.095773
43050,46.200000,9.228218
43100,48.400000,7.227724
43150,49.200000,4.874423
43200,48.800000,8.447485
43250,46.000000,8.602325
43300,46.900000,7.251896
43350,49.100000,7.334167
43400,47.800000,6.896376
43450,47.100000,7.084490
43500,46.700000,6.819824
43550,50.900000,6.015812
43600,47.900000,7.809609
43650,48.300000,6.611354
43700,50.700000,7.675285
43750,48.200000,8.529947
43800,46.700000,6.701492
43850,47.000000,7.496666
43900,48.200000,7.480642
43950,48.100000,7.415524
44000,46.900000,9.021641
44050,47.500000,8.668910
44100,47.500000,7.179833
44150,45.200000,8.059777
44200,47.000000,5.603570
44250,44.600000,6.390618
44300,47.600000,8.452219
44350,47.800000,7.846018
44400,44.900000,6.707459
44450,48.000000,5.549775
44500,47.800000,6.415606
44550,50.100000,5.847222
44600,45.600000,4.923413
44650,46.500000,7.794229
44700,48.000000,6.782330
44750,47.600000,7.002857
44800,42.800000,4.308132
44850,50.700000,7.301370
44900,45.600000,4.029888
44950,51.300000,6.269769
45000,44.700000,9.618212
45050,9.200000,5.381450
45100,9.700000,6.671582
45150,10.700000,5.701754
45200,10.200000,6.321392
45250,9.800000,5.723635
45300,10.700000,6.396093
45350,8.800000,4.995998
45400,9.300000,5.806031
45450,10.300000,6.760917
45500,11.000000,6.826419
45550,8.200000,4.512206
45600,11.100000,5.156549
45650,10.900000,5.982474
45700,8.700000,5.736724
45750,11.700000,7.727225
45800,10.700000,5.701754
45850,11.300000,5.942222
45900,10.100000,5.384236
45950,10.700000,6.819824
46000,11.900000,6.081940
46050,9.600000,5.535341
46100,11.500000,7.317787
46150,11.400000,6.135145
46200,8.600000,4.820788
46250,10.300000,4.990992
46300,11.600000,6.945502
46350,10.200000,6.352952
46400,10.700000,5.631163
46450,12.700000,5.908468
46500,11.400000,5.444263
46550,12.800000,8.182909
46600,12.500000,6.808083
46650,11.900000,7.084490
46700,14.600000,7.269113
46750,14.000000,6.511528
46800,14.100000,5.195190
46850,11.800000,6.508456
46900,12.600000,7.186098
46950,16.200000,7.480642
47000,17.000000,8.449852
47050,16.600000,8.321058
47100,18.600000,9.210863
47150,19.600000,9.991997
47200,19.700000,10.512374
47250,22.100000,11.053959
47300,23.500000,9.399468
47350,24.700000,9.945351
47400,25.200000,12.812494
47450,27.300000,13.088545
47500,27.300000,11.683749
47550,31.500000,14.613350
47600,33.800000,15.230233
47650,34.300000,15.978423
47700,36.500000,14.978318
47750,36.600000,16.746343
47800,42.200000,16.539649
47850,43.700000,17.161294
47900,47.000000,17.849370
47950,46.000000,18.033303
48000,52.500000,16.719749
48050,49.000000,16.425590
48100,54.000000,20.688161
48150,55.800000,18.642961
48200,55.100000,19.436821
48250,60.200000,16.839240
48300,62.000000,17.239490
48350,67.300000,15.469648
48400,64.900000,18.291801
48450,73.500000,16.246538
48500,69.800000,15.464799
48550,70.500000,17.074835
48600,75.000000,13.892444
48650,76.200000,10.637669
48700,79.100000,11.755424
48750,79.500000,11.151233
48800,79.500000,11.813128
48850,82.400000,9.789791
48900,81.400000,9.881295
48950,83.500000,7.612490
49000,84.200000,9.008885
49050,87.000000,7.085196
49100,87.200000,6.997142
49150,86.400000,4.498889
49200,86.000000,7.668116
49250,89.900000,4.624932
49300,90.400000,2.497999
49350,87.900000,4.918333
49400,89.400000,4.651881
49450,88.800000,3.762978
49500,90.900000,3.973663
49550,90.800000,4.955805
49600,89.900000,6.617401
49650,91.700000,5.523586
49700,91.000000,4.837355
49750,90.000000,7.615773
49800,92.700000,5.030904
49850,91.200000,5.775812
49900,91.300000,5.840377
49950,92.000000,5.253570
50000,89.800000,5.211526
50050,91.500000,7.067531
50100,89.600000,6.916647
50150,92.500000,7.586172
50200,91.800000,5.436911
50250,91.300000,5.975784
50300,91.200000,5.230679
50350,92.200000,2.959730
50400,91.000000,7.496666
50450,92.700000,5.376802
50500,91.600000,4.029888
50550,91.800000,4.556314
50600,89.700000,6.205643
50650,90.900000,6.587109
50700,89.000000,7.576279
50750,90.500000,7.768526
50800,89.900000,6.707459
50850,85.400000,10.021976
50900,85.100000,9.807650
